379,224,49,18
377,226,49,17
375,227,49,17
374,228,49,17
373,229,49,17
371,229,49,17
369,229,49,17
368,229,49,17
367,229,48,17
366,228,48,18
365,227,48,18
363,226,48,18
361,226,48,18
361,226,48,18
360,226,47,18
358,226,47,18
356,226,47,18
354,226,47,18
352,227,47,18
350,227,47,18
349,227,47,18
347,227,47,18
353,218,47,18
358,208,49,20
363,197,49,22
366,193,49,20
365,193,48,20
364,193,48,20
362,195,48,20
360,197,48,20
359,199,48,20
358,200,48,20
355,199,48,20
354,200,48,20
353,200,47,20
352,201,47,20
350,201,47,20
349,201,47,20
348,202,47,20
347,203,47,21
345,205,47,21
344,206,47,21
343,206,47,21
341,207,47,21
339,207,47,21
338,207,47,21
337,207,47,21
336,207,47,21
335,208,47,21
333,209,47,21
333,210,47,21
339,211,47,21
346,212,47,21
352,213,47,21
355,213,47,21
354,213,47,21
351,211,47,21
350,212,47,21
348,214,47,21
346,216,47,21
348,217,47,21
350,217,47,21
352,217,47,21
355,219,47,21
359,221,47,21
363,222,47,21
367,222,47,23
369,223,47,23
367,223,46,23
366,224,46,23
365,225,46,23
364,226,46,23
363,227,46,23
362,229,46,23
361,230,44,23
360,229,44,26
364,229,44,26
365,230,47,26
368,232,47,26
371,233,47,26
375,235,47,26
378,236,47,26
382,234,47,26
384,236,47,26
382,234,47,26
380,236,47,26
378,236,47,26
376,238,47,26
374,238,47,26
376,234,47,26
382,232,47,26
384,228,47,26
386,226,47,26
384,224,47,26
383,224,46,26
381,224,46,26
379,224,46,26
377,224,46,28
377,226,46,28
375,226,46,28
373,226,46,28
371,226,46,28
369,228,46,28
369,228,46,28
367,228,46,30
367,228,46,30
365,228,46,30
363,228,46,30
363,228,46,31
360,230,46,31
358,232,46,31
356,234,46,31
354,234,46,31
354,236,46,31
352,238,46,31
350,238,46,31
348,238,46,31
346,238,46,31
344,238,46,32
342,240,46,32
340,240,46,34
338,240,46,34
336,240,46,34
334,242,46,34
332,242,46,34
330,242,46,34
328,242,46,34
328,240,46,36
333,236,45,36
337,234,45,36
341,230,45,36
345,228,45,38
349,230,45,38
353,230,45,38
357,230,45,38
359,230,45,38
357,230,45,38
355,230,45,38
353,230,45,38
351,230,45,38
349,230,45,38
347,230,45,38
345,232,45,38
345,232,45,38
351,226,45,38
357,218,43,40
363,212,43,40
369,204,43,40
375,197,43,41
375,197,43,41
373,199,43,41
371,199,43,41
369,201,43,41
369,202,41,42
367,202,41,42
367,202,41,42
371,198,41,42
375,192,41,44
379,186,41,46
383,181,41,49
387,177,41,49
393,177,41,49
399,179,41,49
404,181,40,46
410,181,40,46
408,181,40,46
407,181,39,47
405,181,39,47
403,181,39,47
401,181,39,47
399,180,39,48
395,180,39,48
393,180,39,48
393,184,39,48
391,184,39,48
389,186,39,48
387,186,39,48
385,186,39,48
383,186,39,48
381,188,39,48
379,192,39,48
379,192,39,48
393,194,39,48
403,196,39,48
413,200,39,48
421,200,39,48
423,200,37,48
423,199,35,49
422,199,34,49
419,199,35,49
417,199,35,51
417,201,33,49
415,201,33,49
412,199,34,51
410,199,34,51
409,201,32,51
407,201,32,51
405,203,32,51
403,205,32,49
401,205,32,49
399,207,32,49
397,207,32,49
395,207,32,49
393,209,32,49
391,209,32,49
389,209,32,49
387,205,32,49
385,197,32,49
385,191,32,49
383,181,32,49
381,173,32,49
379,163,32,49
377,154,32,50
377,156,32,50
375,156,32,50
373,156,32,50
373,156,32,50
371,158,32,50
369,158,32,50
367,160,32,50
365,160,32,50
363,162,32,50
361,162,32,50
359,162,32,50
361,164,30,50
371,164,30,50
381,168,30,50
393,170,30,50
405,172,30,50
415,172,30,52
427,176,28,52
437,176,26,54
435,176,25,55
433,176,25,55
431,176,25,55
429,176,25,55
427,176,25,55
425,178,25,55
423,178,25,55
421,178,25,55
419,178,25,55
418,180,24,55
416,180,24,56
414,180,24,56
412,182,23,56
410,184,23,56
408,184,23,56
406,186,23,56
404,186,23,56
402,186,23,56
400,186,23,56
401,188,22,56
399,188,22,56
397,188,22,56
395,188,22,56
393,188,22,56
391,188,22,56
389,188,22,56
387,188,22,56
385,188,22,56
383,186,22,59
381,186,22,59
379,187,22,58
381,187,22,58
383,189,22,58
385,189,22,58
387,188,22,59
393,182,22,59
397,178,22,59
403,176,22,56
401,176,22,56
399,176,22,56
397,178,22,56
395,180,22,56
393,180,22,56
391,182,22,56
389,182,22,56
387,184,22,56
387,184,22,56
391,186,22,56
393,188,22,56
397,190,22,56
402,190,23,56
410,192,23,56
414,194,24,56
420,196,24,56
426,198,24,56
432,200,24,56
434,200,24,56
432,200,24,56
430,200,24,56
432,204,26,56
438,205,28,55
442,207,28,55
448,209,28,55
450,211,28,55
454,211,28,55
456,211,28,55
458,213,28,55
456,213,30,55
454,215,30,55
452,215,30,55
450,215,30,55
448,215,30,55
